Year,Chamber,CO2,Nitrogen,Treatment,SP_Density,SP_Mass,DI_Density,DI_Mass,Litter_Mass
2006,1,1,1,4,-99,50.06666667,-99,0,1083.566667
2006,2,0,0,1,-99,43.90666667,-99,0,1068.32
2006,3,1,0,3,-99,70.03333333,-99,0,1146.813333
2006,4,0,1,2,-99,154.1333333,-99,27.38,778.7866667
2006,5,1,1,4,-99,16.45333333,-99,0,1133.38
2006,6,0,0,1,-99,0,-99,0,1077.82
2006,7,0,0,1,-99,52.32666667,-99,0,736.34
2006,8,1,0,3,-99,9.293333333,-99,0,548.56
2006,9,1,0,3,-99,0,-99,16.28666667,717.9733333
2006,10,0,1,2,-99,24.5,-99,0,971.8266667
2006,11,0,1,2,-99,56.59333333,-99,0,934.6133333
2006,12,1,1,4,-99,24.96666667,-99,14.54,998.4066667
2006,13,1,0,3,-99,78.76,-99,0,1240.706667
2006,14,0,1,2,-99,16.60666667,-99,18.58666667,708.88
2006,15,1,1,4,-99,18.30666667,-99,7.166666667,712.8666667
2006,16,0,0,1,-99,30.92,-99,0,784.4533333
2006,17,0,0,1,-99,33.84,-99,20.22,1091.926667
2006,18,1,1,4,-99,0,-99,180.0866667,1246.14
2006,19,1,0,3,-99,0,-99,2.72,958.12
2006,20,0,1,2,-99,830.0933333,-99,0,1177.173333
2007,1,1,1,4,-99,171.3866667,-99,198.8466667,1194
2007,2,0,0,1,-99,37.7,-99,0,743.3333333
2007,3,1,0,3,-99,54.12,-99,0,1164
2007,4,0,1,2,-99,188.94,-99,94.45333333,1166
2007,5,1,1,4,-99,52.13333333,-99,0.84,1286.98
2007,6,0,0,1,-99,0,-99,0,476.6666667
2007,7,0,0,1,-99,17.69333333,-99,0,817.3333333
2007,8,1,0,3,-99,0,-99,2.18,802
2007,9,1,0,3,-99,0,-99,0,782
2007,10,0,1,2,-99,191.6733333,-99,86.22,882.44
2007,11,0,1,2,-99,59.38666667,-99,267.6866667,735.58
2007,12,1,1,4,-99,20.28666667,-99,250,1028.786667
2007,13,1,0,3,-99,121.8933333,-99,0,1000.873333
2007,14,0,1,2,-99,0,-99,0,1058.766667
2007,15,1,1,4,-99,0,-99,0,966
2007,16,0,0,1,-99,0,-99,0,798.6666667
2007,17,0,0,1,-99,0.953333333,-99,54.13333333,628
2007,18,1,1,4,-99,0,-99,194.6533333,1289.98
2007,19,1,0,3,-99,0,-99,0,1205.333333
2007,20,0,1,2,-99,1241.313333,-99,0,1261.806667
2008,1,1,1,4,-99,110.6666667,-99,231.3333333,1284
2008,2,0,0,1,-99,100,-99,0,828.6666667
2008,3,1,0,3,-99,0,-99,0,1121.333333
2008,4,0,1,2,-99,54.66666667,-99,248,1254.666667
2008,5,1,1,4,-99,230,-99,0,873.3333333
2008,6,0,0,1,-99,0,-99,0,976
2008,7,0,0,1,-99,4,-99,0,358.6666667
2008,8,1,0,3,-99,2,-99,12.66666667,936
2008,9,1,0,3,-99,14,-99,0,743.3333333
2008,10,0,1,2,-99,385.3333333,-99,52,846
2008,11,0,1,2,-99,262,-99,566.6666667,1718.666667
2008,12,1,1,4,-99,54.66666667,-99,122.6666667,953.3333333
2008,13,1,0,3,-99,53.33333333,-99,0,490
2008,14,0,1,2,-99,168,-99,280,968
2008,15,1,1,4,-99,63.33333333,-99,15.33333333,1176
2008,16,0,0,1,-99,8.666666667,-99,40.66666667,734.6666667
2008,17,0,0,1,-99,0.333333333,-99,193.3333333,1012
2008,18,1,1,4,-99,6,-99,183.3333333,1662
2008,19,1,0,3,-99,0,-99,0,872.6666667
2008,20,0,1,2,-99,17.33333333,-99,461.3333333,1332.666667