Year,Chamber,CO2,Nitrogen,Block,Treatment,Category,FC,C,F13C,13C,FN,N,F15N,15N
2006,1,1,1,1,4,Root,0,44.2473802,0,-35.77965159,0,0.962097213,0,181.0854841
2006,1,1,1,1,4,Root,0,43.81843657,0,-36.23955497,0,1.044598154,0,180.3872854
2006,2,0,0,2,1,Root,0,40.91026861,0,-25.30477451,0,1.111942039,0,330.9158796
2006,3,1,0,3,3,Root,0,40.32135121,0,-36.09602135,0,1.106176834,0,233.2756717
2006,4,0,1,4,2,Root,13,-99,13,-99,13,-99,13,-99
2006,5,1,1,4,4,Root,0,44.23458906,0,-34.46211253,0,1.207922429,0,142.7467836
2006,6,0,0,3,1,Root,0,44.92324378,0,-25.81811662,0,1.134387485,0,273.733902
2006,7,0,0,1,1,Root,0,41.64055873,0,-25.55516108,0,1.446102628,0,237.9150922
2006,8,1,0,1,3,Root,0,40.6155879,0,-33.58195257,0,1.38614091,0,248.7279414
2006,8,1,0,1,3,Root,0,41.43743515,0,-33.74990689,0,1.39316386,0,254.3044993
2006,9,1,0,4,3,Root,0,44.62593501,0,-34.10780728,0,1.050038556,0,248.5797469
2006,10,0,1,3,2,Root,0,42.53723769,0,-24.81926996,0,1.291512676,0,160.7544446
2006,11,0,1,2,2,Root,0,43.19324023,0,-25.53125112,0,1.448094044,0,306.7384893
2006,12,1,1,2,4,Root,0,44.68744471,0,-34.58918969,0,1.115098114,0,143.9733616
2006,13,1,0,2,3,Root,0,41.81245632,0,-34.12985709,0,1.423770444,0,366.0896416
2006,14,0,1,1,2,Root,0,43.14960991,0,-25.85083106,0,1.02218102,0,195.3014837
2006,15,1,1,3,4,Root,0,44.54494831,0,-35.77248472,0,1.096441228,0,146.472144
2006,16,0,0,5,1,Root,0,41.1059688,0,-25.35983258,0,1.127161433,0,286.6753523
2006,17,0,0,4,1,Root,0,44.57761648,0,-25.36169845,0,0.947075807,0,354.7788656
2006,18,1,1,5,4,Root,0,44.65652298,0,-35.05417354,0,1.205641135,0,157.5928203
2006,18,1,1,5,4,Root,0,44.82196012,0,-35.12800395,0,1.167260504,0,152.3023855
2006,19,1,0,5,3,Root,0,45.02197058,0,-34.21072276,0,0.910764716,0,188.7111271
2006,20,0,1,5,2,Root,0,44.62242014,0,-20.76043525,0,1.432337999,0,128.4417503
2007,1,1,1,1,4,Root,0,41.97102549,0,-36.28306358,0,0.959624001,0,61.714
2007,2,0,0,2,1,Root,0,41.9781277,0,-23.6934,0,0.773689638,0,131.641
2007,3,1,0,3,3,Root,0,42.12077449,0,-35.92656656,0,0.820024035,0,145.672
2007,4,0,1,4,2,Root,0,42.32492474,0,-24.1028227,0,1.221881544,0,64.4014
2007,5,1,1,4,4,Root,0,41.13158559,0,-35.28510501,0,1.075391845,0,49.3105
2007,6,0,0,3,1,Root,0,43.23576923,0,-25.87920438,0,0.773787955,0,127.224
2007,7,0,0,1,1,Root,0,41.18692816,0,-25.88878792,0,1.059520007,0,130.335
2007,8,1,0,1,3,Root,0,42.04763896,0,-34.10036065,0,0.746995098,0,123.48
2007,9,1,0,4,3,Root,0,42.8515024,0,-35.40492846,0,0.706869159,0,125.817
2007,10,0,1,3,2,Root,0,42.65890625,0,-24.58449979,0,1.165575149,0,63.5151
2007,11,0,1,2,2,Root,0,42.82950531,0,-21.65652488,0,1.476743912,0,79.9936
2007,12,1,1,2,4,Root,0,43.144689,0,-34.57743336,0,1.246537994,0,44.5599
2007,13,1,0,2,3,Root,0,43.20433107,0,-35.71753285,0,0.779092783,0,177.518
2007,14,0,1,1,2,Root,0,41.67171173,0,-24.66658931,0,1.259213507,0,67.8336
2007,15,1,1,3,4,Root,0,43.17152929,0,-34.69586656,0,1.084278015,0,48.8784
2007,16,0,0,5,1,Root,13,-99,13,-99,13,-99,13,-99
2007,17,0,0,4,1,Root,0,42.78648182,0,-24.11687648,0,0.889332168,0,143.692
2007,18,1,1,5,4,Root,0,43.19619987,0,-34.37167863,0,1.126315661,0,53.5894
2007,19,1,0,5,3,Root,0,43.19791219,0,-34.92086142,0,0.827074456,0,113.632
2007,20,0,1,5,2,Root,0,42.65735051,0,-21.7937293,0,1.54717632,0,39.6298
2008,1,1,1,1,4,Root,0,41.13870113,0,-37.72411163,0,1.969286749,0,30.1101442
2008,2,0,0,2,1,Root,0,41.18554078,0,-24.98733075,0,1.228675861,0,64.5961458
2008,3,1,0,3,3,Root,0,42.16258452,0,-37.11869515,0,0.853773572,0,95.08705116
2008,4,0,1,4,2,Root,0,41.46372716,0,-20.88172287,0,1.75603051,0,27.91737028
2008,5,1,1,4,4,Root,0,41.32040185,0,-37.45514889,0,1.312094438,0,27.88996083
2008,6,0,0,3,1,Root,0,41.47628232,0,-26.25161802,0,1.192577958,0,73.26013511
2008,7,0,0,1,1,Root,0,41.91122419,0,-26.22358036,0,0.817410446,0,80.82786668
2008,8,1,0,1,3,Root,0,41.51210693,0,-36.95847685,0,1.246479154,0,77.45523885
2008,9,1,0,4,3,Root,0,41.84818866,0,-37.35609082,0,0.884973643,0,87.10720869
2008,10,0,1,3,2,Root,0,40.90230918,0,-24.51532619,0,1.435097759,0,47.16016289
2008,11,0,1,2,2,Root,0,41.84727695,0,-22.57709874,0,1.766572217,0,44.58333539
2008,12,1,1,2,4,Root,0,42.20913345,0,-37.58548017,0,1.378173348,0,30.38424342
2008,13,1,0,2,3,Root,0,42.64496302,0,-36.86958641,0,0.844318549,0,91.54953768
2008,14,0,1,1,2,Root,0,42.44548126,0,-22.36166776,0,1.604596567,0,27.58845723
2008,15,1,1,3,4,Root,0,41.23486574,0,-38.18586111,0,1.397640312,0,27.80773251
2008,16,0,0,5,1,Root,0,60.43259498,0,-25.40503659,0,1.439164157,0,81.70531196
2008,17,0,0,4,1,Root,0,42.10928715,0,-25.70146746,0,1.009799717,0,71.58761335
2008,18,1,1,5,4,Root,0,42.27755733,0,-36.76613329,0,1.188323223,0,31.09690396
2008,19,1,0,5,3,Root,0,42.67498065,0,-36.60896079,0,1.117144892,0,72.73918351
2008,20,0,1,5,2,Root,0,42.14438217,0,-23.14555751,0,1.810243956,0,20.16071516
2008,1,1,1,1,4,C3Rhiz,0,41.4178817,0,-37.23497909,0,1.214603255,0,28.02700814
2008,2,0,0,2,1,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,3,1,0,3,3,C3Rhiz,0,35.55590693,0,-38.32205301,0,0.897580032,0,109.1557442
2008,4,0,1,4,2,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,5,1,1,4,4,C3Rhiz,0,41.06255126,0,-39.15514421,0,1.386034747,0,36.46938773
2008,6,0,0,3,1,C3Rhiz,0,41.38482439,0,-26.67191361,0,1.359657104,0,32.90598203
2008,7,0,0,1,1,C3Rhiz,0,41.22151166,0,-26.20317095,0,1.064990552,0,101.2573521
2008,8,1,0,1,3,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,9,1,0,4,3,C3Rhiz,0,40.43118165,0,-37.65067728,0,0.500699671,0,152.1112471
2008,10,0,1,3,2,C3Rhiz,0,40.0667569,0,-25.53813735,0,1.842410517,0,89.76710437
2008,11,0,1,2,2,C3Rhiz,0,40.84691292,0,-25.62909791,0,2.816650173,0,82.77470602
2008,12,1,1,2,4,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,13,1,0,2,3,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,14,0,1,1,2,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,15,1,1,3,4,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,16,0,0,5,1,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,17,0,0,4,1,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,18,1,1,5,4,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,19,1,0,5,3,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,20,0,1,5,2,C3Rhiz,13,-99,13,-99,13,-99,13,-99
2008,1,1,1,1,4,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,2,0,0,2,1,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,3,1,0,3,3,C4Rhiz,0,43.06576592,0,-28.7261783,0,1.630277827,0,29.69899641
2008,4,0,1,4,2,C4Rhiz,0,42.32331381,0,-14.68848913,0,1.621844932,0,23.72378823
2008,5,1,1,4,4,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,6,0,0,3,1,C4Rhiz,0,42.63154955,0,-15.4772657,0,1.196799524,0,126.7916499
2008,7,0,0,1,1,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,8,1,0,1,3,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,9,1,0,4,3,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,10,0,1,3,2,C4Rhiz,0,40.99850073,0,-15.29152926,0,1.429744274,0,45.89915612
2008,11,0,1,2,2,C4Rhiz,0,43.51104479,0,-15.09336924,0,1.013206178,0,40.33441753
2008,12,1,1,2,4,C4Rhiz,0,43.00872544,0,-28.80496135,0,1.449177098,0,25.2038613
2008,13,1,0,2,3,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,14,0,1,1,2,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,15,1,1,3,4,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,16,0,0,5,1,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,17,0,0,4,1,C4Rhiz,13,-99,13,-99,13,-99,13,-99
2008,18,1,1,5,4,C4Rhiz,0,43.80094555,0,-28.48673214,0,1.304183117,0,29.31525958
2008,19,1,0,5,3,C4Rhiz,0,42.26860668,0,-13.65921816,0,0.931606395,0,35.48258915
2008,20,0,1,5,2,C4Rhiz,13,-99,13,-99,13,-99,13,-99