Year,Chamber,CO2,Nitrogen,Treatment,ABroot,ABCoarse,ABC3,ABC4,ABTotal,ABLitter
2006,1,1,1,4,94.81037924,58.71562321,-99,-99,94.81037924,-99
2006,2,0,0,1,58.27350535,61.48980174,-99,-99,58.27350535,-99
2006,3,1,0,3,108.6700944,20.87367339,-99,-99,108.6700944,-99
2006,4,0,1,2,7.563407217,39.72731387,-99,-99,7.563407217,-99
2006,5,1,1,4,49.27318139,66.93042371,-99,-99,49.27318139,-99
2006,6,0,0,1,75.89532976,72.45184699,-99,-99,75.89532976,-99
2006,7,0,0,1,34.69500789,226.3783546,-99,-99,34.69500789,-99
2006,8,1,0,3,22.67715877,60.60098726,-99,-99,22.67715877,-99
2006,9,1,0,3,70.2652287,42.28602222,-99,-99,70.2652287,-99
2006,10,0,1,2,17.9483964,60.4663184,-99,-99,17.9483964,-99
2006,11,0,1,2,50.97135572,92.11350064,-99,-99,50.97135572,-99
2006,12,1,1,4,100.7148008,70.70115181,-99,-99,100.7148008,-99
2006,13,1,0,3,53.55780585,134.5341917,-99,-99,53.55780585,-99
2006,14,0,1,2,44.81873948,50.9048293,-99,-99,44.81873948,-99
2006,15,1,1,4,130.0670909,38.91930071,-99,-99,130.0670909,-99
2006,16,0,0,1,33.06214796,46.73009462,-99,-99,33.06214796,-99
2006,17,0,0,1,68.76299757,39.05396957,-99,-99,68.76299757,-99
2006,18,1,1,4,66.21573607,25.85642123,-99,-99,66.21573607,-99
2006,19,1,0,3,182.7104952,68.14244346,-99,-99,182.7104952,-99
2006,20,0,1,2,65.78466104,36.49526122,-99,-99,65.78466104,-99
2007,1,1,1,4,72.31610078,-99,0,0.979715961,73.29581674,-99
2007,2,0,0,1,98.61167717,-99,17.46506986,0,116.076747,-99
2007,3,1,0,3,82.97541044,-99,30.63245237,0,113.6078628,-99
2007,4,0,1,2,35.41346626,-99,123.9014118,31.89955168,191.2144298,-99
2007,5,1,1,4,80.72859517,-99,0,0,80.72859517,-99
2007,6,0,0,1,144.8412076,-99,0,0,144.8412076,-99
2007,7,0,0,1,67.4697725,-99,0,0,67.4697725,-99
2007,8,1,0,3,133.0062388,-99,147.1925259,16.05427888,296.2530437,-99
2007,9,1,0,3,114.5222644,-99,74.06652663,20.23440031,208.8231913,-99
2007,10,0,1,2,45.58944937,-99,0,18.0790252,63.66847457,-99
2007,11,0,1,2,52.61727853,-99,14.32997879,61.06896155,128.0162189,-99
2007,12,1,1,4,62.16624343,-99,0,11.54758546,73.71382889,-99
2007,13,1,0,3,100.5972348,-99,15.0876258,1.345476586,117.0303372,-99
2007,14,0,1,2,43.86514928,-99,0,2.534198618,46.3993479,-99
2007,15,1,1,4,128.1990992,-99,30.46263494,24.68884221,183.3505763,-99
2007,16,0,0,1,-99,-99,0,0,0,-99
2007,17,0,0,1,72.4989811,-99,41.48770522,0.979715961,114.9664023,-99
2007,18,1,1,4,63.69460033,-99,54.06725815,16.40697662,134.1688351,-99
2007,19,1,0,3,142.9862788,-99,30.76308117,0,173.7493599,-99
2007,20,0,1,2,75.28137442,-99,0,56.8365886,132.117963,-99
2008,1,1,1,4,62.85857604,-99,291.3479324,2.096592156,356.3031006,-99
2008,2,0,0,1,43.63001745,-99,0,0,43.63001745,-99
2008,3,1,0,3,91.72753969,-99,141.1705385,8.334117106,241.2321953,-99
2008,4,0,1,2,24.89784828,-99,0,80.62409213,105.5219404,-99
2008,5,1,1,4,40.40348622,-99,6.139553354,0,46.54303958,-99
2008,6,0,0,1,64.39999582,-99,21.01817308,2.455821342,87.87399024,-99
2008,7,0,0,1,117.8663615,-99,507.2185472,0,625.0849087,-99
2008,8,1,0,3,63.11983363,-99,0,0,63.11983363,-99
2008,9,1,0,3,89.24559258,-99,107.4944352,0,196.7400278,-99
2008,10,0,1,2,52.86547324,-99,94.67975045,5.656226813,153.2014505,-99
2008,11,0,1,2,85.64023785,-99,23.18661107,28.79058637,137.6174353,-99
2008,12,1,1,4,39.76340513,-99,0,26.49151958,66.25492471,-99
2008,13,1,0,3,111.2826703,-99,78.20745943,0,189.4901297,-99
2008,14,0,1,2,43.00299924,-99,46.50385094,51.85963152,141.3664817,-99
2008,15,1,1,4,20.27358895,-99,0,2.037809198,22.31139815,-99
2008,16,0,0,1,91.57078513,-99,89.27171834,0,180.8425035,-99
2008,17,0,0,1,83.19747939,-99,37.68640729,0,120.8838867,-99
2008,18,1,1,4,42.4543583,-99,0,3.25265699,45.70701529,-99
2008,19,1,0,3,98.07609911,-99,0,42.19310071,140.2691998,-99
2008,20,0,1,2,30.13606295,-99,0,26.19107335,56.3271363,-99