Year,Chamber,Quadrat,In_Out,CO2,Nitrogen,Treatment,Total_Height,Green_Height,Width,Total_Mass
2006,1,1,1,1,1,4,87,86,5,1.055
2006,1,2,1,1,1,4,86,85,3.33,0.5699
2006,1,3,1,1,1,4,101,80,3.34,0.8615
2006,1,4,1,1,1,4,75,75,4.15,0.6979
2006,1,5,1,1,1,4,52,52,5.15,0.4795
2006,1,6,1,1,1,4,105,103,4.94,1.2544
2006,1,7,0,1,1,4,107,101,3.38,0.9022
2006,1,8,0,1,1,4,65,65,3.81,0.4843
2006,2,1,1,0,0,1,74,71,3.24,0.6304
2006,2,2,1,0,0,1,94,93,3.41,0.7294
2006,2,3,1,0,0,1,105,102,3.07,0.6693
2006,2,4,1,0,0,1,59,59,5.31,0.6371
2006,2,5,1,0,0,1,87,81,5.03,1.1275
2006,2,6,1,0,0,1,36,36,3.87,0.2179
2006,2,7,0,0,0,1,115,112,3.31,1.0877
2006,2,8,0,0,0,1,81,71,4.18,0.6951
2006,3,1,1,1,0,3,97,92,4.38,1.0049
2006,3,2,1,1,0,3,0,0,0,0
2006,3,3,1,1,0,3,96,90.5,4.5,0.8894
2006,3,4,1,1,0,3,48,38,2.58,0.1923
2006,3,5,1,1,0,3,82,70,4.02,0.6721
2006,3,6,1,1,0,3,79,75,4.34,-99
2006,3,7,0,1,0,3,111,105,3.96,0.9748
2006,3,8,0,1,0,3,65,65,4.82,0.6135
2006,4,1,1,0,1,2,0,0,0,0
2006,4,2,1,0,1,2,94,80,3.72,0.8336
2006,4,3,1,0,1,2,41,41,2.64,0.1503
2006,4,4,1,0,1,2,55,55,4.34,0.6027
2006,4,5,1,0,1,2,72,71,3.73,0.4327
2006,4,6,1,0,1,2,88,84,3.79,0.7518
2006,4,7,0,0,1,2,130,128,4.12,1.2661
2006,4,8,0,0,1,2,46,46,3.88,0.3561
2006,5,1,1,1,1,4,100,91,3.98,0.9967
2006,5,2,1,1,1,4,103,102,3.61,1.0058
2006,5,3,1,1,1,4,70.5,70,5.26,0.7672
2006,5,4,1,1,1,4,105,102,3.63,0.8294
2006,5,5,1,1,1,4,113,103,4.47,1.3873
2006,5,6,1,1,1,4,123,122,5.59,1.6466
2006,5,7,0,1,1,4,55,54,4.25,0.6386
2006,5,8,0,1,1,4,113,110,4.2,1.1647
2006,6,1,1,0,0,1,90,86,3.4,0.8209
2006,6,2,1,0,0,1,77,74,2.78,0.4755
2006,6,3,1,0,0,1,95,92,3.75,0.9786
2006,6,4,1,0,0,1,74,66,3.39,0.5888
2006,6,5,1,0,0,1,100,89,3.57,0.9015
2006,6,6,1,0,0,1,108,102,3.92,1.2847
2006,6,7,0,0,0,1,112,108,3.55,0.9588
2006,6,8,0,0,0,1,0,0,0,0
2006,7,1,1,0,0,1,68,68,4.75,0.5534
2006,7,2,1,0,0,1,70,63,2.93,0.3299
2006,7,3,1,0,0,1,70,70,3.49,0.4532
2006,7,4,1,0,0,1,89,87,3.98,0.873
2006,7,5,1,0,0,1,0,0,0,0
2006,7,6,1,0,0,1,0,0,0,0
2006,7,7,0,0,0,1,102,99,3.74,0.9799
2006,7,8,0,0,0,1,112,105,4.02,1.0065
2006,8,1,1,1,0,3,91,81,3.73,0.9146
2006,8,2,1,1,0,3,71,66,3.56,0.4359
2006,8,3,1,1,0,3,92,78,3.99,0.83
2006,8,4,1,1,0,3,97,92,3.71,0.9292
2006,8,5,1,1,0,3,101,96,4.54,1.2581
2006,8,6,1,1,0,3,80,73,3.02,0.452
2006,8,7,0,1,0,3,94,83,3.6,0.8544
2006,8,8,0,1,0,3,97,86,3.71,0.8996
2006,9,1,1,1,0,3,108,107,3.75,1.2136
2006,9,2,1,1,0,3,87,86,4.71,0.9913
2006,9,3,1,1,0,3,85,82,3.34,0.7056
2006,9,4,1,1,0,3,92,91,5.05,1.2193
2006,9,5,1,1,0,3,99,84,4.59,1.1041
2006,9,6,1,1,0,3,63,61,4.39,-99
2006,9,7,0,1,0,3,103,99,3.8,0.9698
2006,9,8,0,1,0,3,0,0,0,0
2006,10,1,1,0,1,2,76,75,4.48,0.6656
2006,10,2,1,0,1,2,64,64,4.3,0.5921
2006,10,3,1,0,1,2,0,0,0,0
2006,10,4,1,0,1,2,104,102,3.68,0.9712
2006,10,5,1,0,1,2,97,92,3.54,0.9285
2006,10,6,1,0,1,2,0,0,0,0
2006,10,7,0,0,1,2,0,0,0,0
2006,10,8,0,0,1,2,114,109,3.41,1.0714
2006,11,1,1,0,1,2,94,94,4.17,0.9866
2006,11,2,1,0,1,2,101,25,4.02,0.9309
2006,11,3,1,0,1,2,96,91,4.21,1.1893
2006,11,4,1,0,1,2,95,95,4.24,1.2608
2006,11,5,1,0,1,2,112,111,3.8,1.1356
2006,11,6,1,0,1,2,0,0,0,0
2006,11,7,0,0,1,2,100,96,3.41,0.7345
2006,11,8,0,0,1,2,40,28,1.56,0.0503
2006,12,1,1,1,1,4,108,105,3.62,1.119
2006,12,2,1,1,1,4,119,115,4.84,1.3394
2006,12,3,1,1,1,4,100,96,4.38,0.7903
2006,12,4,1,1,1,4,116,110,3.73,1.1374
2006,12,5,1,1,1,4,55,55,4.59,0.4829
2006,12,6,1,1,1,4,8,8,4.33,0.0414
2006,12,7,0,1,1,4,31,26,3.6,0.2102
2006,12,8,0,1,1,4,0,0,0,0
2006,13,1,1,1,0,3,40,40,2.46,0.1199
2006,13,2,1,1,0,3,85,72,3.27,0.651
2006,13,3,1,1,0,3,107,104,3.5,1.0057
2006,13,4,1,1,0,3,0,0,0,0
2006,13,5,1,1,0,3,102,101,3.4,0.9747
2006,13,6,1,1,0,3,71,45,3.18,0.3728
2006,13,7,0,1,0,3,103,85,3.49,0.8398
2006,13,8,0,1,0,3,53,53,3.73,0.4715
2006,14,1,1,0,1,2,42,42,5.22,0.2624
2006,14,2,1,0,1,2,103,103,4.4,0.9436
2006,14,3,1,0,1,2,75,68,4.32,0.8566
2006,14,4,1,0,1,2,51,51,4.6,0.3708
2006,14,5,1,0,1,2,76,74,2.92,0.4221
2006,14,6,1,0,1,2,33,33,5.2,0.3407
2006,14,7,0,0,1,2,107,102,3.42,0.9415
2006,14,8,0,0,1,2,90,88,3.03,0.5716
2006,15,1,1,1,1,4,97,78,3.24,0.8303
2006,15,2,1,1,1,4,100,98,3.38,0.9456
2006,15,3,1,1,1,4,0,0,0,0
2006,15,4,1,1,1,4,118,110,4.15,1.4715
2006,15,5,1,1,1,4,95,92,3.45,0.74
2006,15,6,1,1,1,4,80,70,3.7,0.5145
2006,15,7,0,1,1,4,108,107,5.25,1.0299
2006,15,8,0,1,1,4,108,104,4.07,1.1581
2006,16,1,1,0,0,1,111,108,4.48,1.1804
2006,16,2,1,0,0,1,91,89,3.09,0.5209
2006,16,3,1,0,0,1,64,53,3.39,0.5183
2006,16,4,1,0,0,1,0,0,0,0
2006,16,5,1,0,0,1,69,61,2.69,0.3302
2006,16,6,1,0,0,1,61,60,3,0.3486
2006,16,7,0,0,0,1,57,57,4.48,0.3718
2006,16,8,0,0,0,1,111,110,4.44,1.0979
2006,17,1,1,0,0,1,0,0,0,0
2006,17,2,1,0,0,1,0,0,0,0
2006,17,3,1,0,0,1,85,85,4.38,0.8989
2006,17,4,1,0,0,1,107,104,4.79,1.149
2006,17,5,1,0,0,1,75,74,3.65,0.5762
2006,17,6,1,0,0,1,95,45,3.7,0.9573
2006,17,7,0,0,0,1,0,0,0,0
2006,17,8,0,0,0,1,45,43,3.42,0.2996
2006,18,1,1,1,1,4,80,71,3.44,0.8416
2006,18,2,1,1,1,4,101,97,4.85,1.4027
2006,18,3,1,1,1,4,37,37,3.54,0.2588
2006,18,4,1,1,1,4,94,91,3.43,0.8374
2006,18,5,1,1,1,4,95,93,3.53,0.8824
2006,18,6,1,1,1,4,87,81,3.47,0.796
2006,18,7,0,1,1,4,85,70,3.75,0.9219
2006,18,8,0,1,1,4,117,115,4.57,1.5003
2006,19,1,1,1,0,3,114,108,4.13,1.2039
2006,19,2,1,1,0,3,0,0,0,0
2006,19,3,1,1,0,3,76,76,4.79,0.9143
2006,19,4,1,1,0,3,0,0,0,0
2006,19,5,1,1,0,3,84,76,3.25,0.6496
2006,19,6,1,1,0,3,80,26,3.47,0.5757
2006,19,7,0,1,0,3,97,95,3.99,1.1052
2006,19,8,0,1,0,3,134,131,4.62,1.5305
2006,20,1,1,0,1,2,97,96,4.13,0.9128
2006,20,2,1,0,1,2,0,0,0,0
2006,20,3,1,0,1,2,86,79,3.98,0.8649
2006,20,4,1,0,1,2,25,25,3.31,0.1022
2006,20,5,1,0,1,2,119,117,6.1,1.9196
2006,20,6,1,0,1,2,96,82,4.2,0.9136
2006,20,7,0,0,1,2,95,95,3.88,0.9883
2006,20,8,0,0,1,2,76,75,5.59,0.8249
2007,12,-99,1,1,1,4,64,63,3.8,0.5188
2007,12,-99,1,1,1,4,121,116,3.4,0.9474
2007,12,-99,1,1,1,4,133,133,4.2,1.7592
2007,12,-99,0,1,1,4,128,124,3.8,1.3591
2007,12,-99,0,1,1,4,77,75,3.8,0.6556
2007,13,-99,1,1,0,3,113,111,3.3,0.9445
2007,13,-99,1,1,0,3,90,88,3.8,0.8539
2007,13,-99,1,1,0,3,115,112,3.1,0.8228
2007,13,-99,0,1,0,3,125,118,3.7,1.3199
2007,13,-99,0,1,0,3,94,86,2.8,0.5735
2007,14,-99,1,0,1,2,75,75,4.1,0.8086
2007,14,-99,1,0,1,2,117,112,3.5,1.0485
2007,14,-99,1,0,1,2,96,90,3.4,0.6854
2007,14,-99,0,0,1,2,107,100,3.1,0.8161
2007,14,-99,0,0,1,2,117,113,3.9,1.076
2007,17,-99,1,0,0,1,107,100,3.7,1.032
2007,17,-99,1,0,0,1,94,83,3.4,0.813
2007,17,-99,1,0,0,1,109,96,3.7,1.1327
2007,17,-99,0,0,0,1,104,83,4,1.002
2007,17,-99,0,0,0,1,93,91,3.3,0.7156
2007,1,-99,1,1,1,4,103,100,3.6,0.9903
2007,1,-99,1,1,1,4,111,110,4.7,1.6048
2007,1,-99,1,1,1,4,129,123,3.5,1.308
2007,1,-99,0,1,1,4,106,101,3.8,1.0277
2007,1,-99,0,1,1,4,82,81,4.2,0.97
2007,2,-99,1,0,0,1,75,74,3.5,0.7338
2007,2,-99,1,0,0,1,115,102,3.7,1.136
2007,2,-99,1,0,0,1,135,127,3.5,1.4527
2007,2,-99,0,0,0,1,67,66,3.7,0.5926
2007,2,-99,0,0,0,1,122,105,3.8,1.1974
2007,3,-99,1,1,0,3,122,118,3.8,1.1936
2007,3,-99,1,1,0,3,138,129,3.7,1.3791
2007,3,-99,1,1,0,3,78,77,4.2,0.8591
2007,3,-99,0,1,0,3,131,120,4.3,1.6179
2007,3,-99,0,1,0,3,78,77,4,0.8163
2007,4,-99,1,0,1,2,140,136,4.3,1.88
2007,4,-99,1,0,1,2,138,135,3.8,1.5194
2007,4,-99,1,0,1,2,56,55,3.9,0.4849
2007,4,-99,0,0,1,2,117,105,4.1,1.2135
2007,4,-99,0,0,1,2,64,64,4.8,0.9825
2008,1,-99,1,1,1,4,75,75,4.1,0.88
2008,1,-99,1,1,1,4,138,110,3.6,1.49
2008,1,-99,1,1,1,4,103,103,4.6,1.19
2008,2,-99,1,0,0,1,125,123,4.2,1.75
2008,2,-99,1,0,0,1,103,100,3.9,1.2
2008,2,-99,1,0,0,1,98,80,2.9,0.76
2008,3,-99,1,1,0,3,51,51,4.3,0.66
2008,3,-99,1,1,0,3,138,122,3.6,1.33
2008,3,-99,1,1,0,3,131,110,3.1,1.08
2008,4,-99,1,0,1,2,148,132,4.2,2.14
2008,4,-99,1,0,1,2,90,89,3.1,0.76
2008,4,-99,1,0,1,2,116,114,3.7,1.24
2008,5,-99,1,1,1,4,130,128,4.5,1.87
2008,5,-99,1,1,1,4,73,73,3.5,0.63
2008,5,-99,1,1,1,4,170,154,4.7,2.48
2008,6,-99,1,0,0,1,84,84,4.4,1.07
2008,6,-99,1,0,0,1,111,109,3.6,1.3
2008,6,-99,1,0,0,1,130,109,3.6,1.4
2008,7,-99,1,0,0,1,67,67,3.8,0.69
2008,7,-99,1,0,0,1,135,116,3.3,1.41
2008,7,-99,1,0,0,1,111,110,3.5,1.19
2008,8,-99,1,1,0,3,63,63,3.4,0.56
2008,8,-99,1,1,0,3,127,113,3.9,1.64
2008,8,-99,1,1,0,3,103,85,3.3,0.89
2008,9,-99,1,1,0,3,120,120,3.5,1.27
2008,9,-99,1,1,0,3,121,118,3.8,1.42
2008,9,-99,1,1,0,3,74,74,3.8,1.07
2008,10,-99,1,0,1,2,108,107,3.8,1.24
2008,10,-99,1,0,1,2,92,92,3.8,1.02
2008,10,-99,1,0,1,2,71,69,3.5,0.56
2008,11,-99,1,0,1,2,133,132,3.8,1.61
2008,11,-99,1,0,1,2,49,49,3.6,0.42
2008,11,-99,1,0,1,2,91,90,4,1.07
2008,12,-99,1,1,1,4,45,45,3.6,0.43
2008,12,-99,1,1,1,4,135,120,3.3,1.33
2008,12,-99,1,1,1,4,125,119,4.2,1.67
2008,13,-99,1,1,0,3,87,77,2.8,0.63
2008,13,-99,1,1,0,3,117,101,3.8,1.45
2008,13,-99,1,1,0,3,93,90,2.8,0.74
2008,14,-99,1,0,1,2,115,95,3.9,1.21
2008,14,-99,1,0,1,2,116,106,3.5,1.21
2008,14,-99,1,0,1,2,87,87,3.5,0.93
2008,15,-99,1,1,1,4,80,80,4.5,1.05
2008,15,-99,1,1,1,4,115,114,4.8,1.7
2008,15,-99,1,1,1,4,155,133,4.3,2.11
2008,16,-99,1,0,0,1,103,100,3.1,0.77
2008,16,-99,1,0,0,1,70,68,3.8,0.69
2008,16,-99,1,0,0,1,124,101,3.7,1.28
2008,17,-99,1,0,0,1,72,70,4.2,0.84
2008,17,-99,1,0,0,1,107,101,3.3,0.97
2008,17,-99,1,0,0,1,115,113,4.5,1.82
2008,18,-99,1,1,1,4,154,129,4.2,2.07
2008,18,-99,1,1,1,4,100,82,3.3,0.86
2008,18,-99,1,1,1,4,112,111,3.6,1.32
2008,19,-99,1,1,0,3,127,125,4.4,2.16
2008,19,-99,1,1,0,3,111,109,3.3,1.06
2008,19,-99,1,1,0,3,70,70,4.3,1.02
2008,20,-99,1,0,1,2,120,118,4,1.49
2008,20,-99,1,0,1,2,100,98,3.3,0.76
2008,20,-99,1,0,1,2,53,53,3.4,0.44