Year,Chamber,CO2,Nitrogen,Treatment,SCbiomass_m2,SCdensity_m2
2006,1,1,1,4,504.2628275,600
2006,2,0,0,1,288.095639,387.037037
2006,3,1,0,3,373.5711065,496.2962963
2006,4,0,1,2,355.5209001,474.0740741
2006,5,1,1,4,558.5912613,592.5925926
2006,6,0,0,1,367.4409133,479.6296296
2006,7,0,0,1,237.8006685,333.3333333
2006,8,1,0,3,290.3013024,385.1851852
2006,9,1,0,3,349.0708755,494.4444444
2006,10,0,1,2,346.4392232,472.2222222
2006,11,0,1,2,408.9370788,505.5555556
2006,12,1,1,4,409.1163566,485.1851852
2006,13,1,0,3,273.9104584,420.3703704
2006,14,0,1,2,365.2668954,503.7037037
2006,15,1,1,4,378.6067657,524.0740741
2006,16,0,0,1,333.6466492,479.6296296
2006,17,0,0,1,375.4480182,520.3703704
2006,18,1,1,4,438.8244714,631.4814815
2006,19,1,0,3,329.0456234,411.1111111
2006,20,0,1,2,248.6532722,300
2007,1,1,1,4,578.4850628,524.0740741
2007,2,0,0,1,351.9846977,392.5925926
2007,3,1,0,3,597.8391264,551.8518519
2007,4,0,1,2,460.6669046,468.5185185
2007,5,1,1,4,818.2416683,633.3333333
2007,6,0,0,1,623.0853244,583.3333333
2007,7,0,0,1,421.2126764,457.4074074
2007,8,1,0,3,446.1163909,470.3703704
2007,9,1,0,3,497.9442074,511.1111111
2007,10,0,1,2,565.3380344,511.1111111
2007,11,0,1,2,472.3179817,440.7407407
2007,12,1,1,4,747.0143853,633.3333333
2007,13,1,0,3,439.7099458,488.8888889
2007,14,0,1,2,477.2853422,442.5925926
2007,15,1,1,4,814.7026083,716.6666667
2007,16,0,0,1,533.6606695,546.2962963
2007,17,0,0,1,583.7488497,607.4074074
2007,18,1,1,4,842.6406426,698.1481481
2007,19,1,0,3,678.0521222,616.6666667
2007,20,0,1,2,325.5919384,277.7777778
2008,1,1,1,4,610.6325176,496.2962963
2008,2,0,0,1,390.048567,385.1851852
2008,3,1,0,3,485.1614804,464.8148148
2008,4,0,1,2,526.6698228,466.6666667
2008,5,1,1,4,600.1437381,464.8148148
2008,6,0,0,1,596.3145199,559.2592593
2008,7,0,0,1,421.3938556,457.4074074
2008,8,1,0,3,508.8350438,533.3333333
2008,9,1,0,3,481.0130722,507.4074074
2008,10,0,1,2,442.006837,412.962963
2008,11,0,1,2,351.4812228,331.4814815
2008,12,1,1,4,574.5004204,538.8888889
2008,13,1,0,3,365.6216889,455.5555556
2008,14,0,1,2,445.429811,462.962963
2008,15,1,1,4,569.6263285,561.1111111
2008,16,0,0,1,556.8469015,542.5925926
2008,17,0,0,1,507.1683,512.962963
2008,18,1,1,4,730.5417328,546.2962963
2008,19,1,0,3,695.2023568,596.2962963
2008,20,0,1,2,450.3103394,418.5185185